time,open,high,low,close,volume
2020-07-28 21:00:00,10906.27,11342.82,10812.00,11100.53,76838
2020-07-29 21:00:00,11100.52,11170.00,10831.00,11099.61,60795
2020-07-30 21:00:00,11099.79,11444.00,10960.00,11335.46,70064
2020-07-31 21:00:00,11335.46,11861.00,11220.00,11801.17,85087
2020-08-01 21:00:00,11801.17,12123.46,10518.50,11071.35,97553
2020-08-02 21:00:00,11071.36,11473.00,10936.00,11219.81,56932
2020-08-03 21:00:00,11219.68,11414.98,11000.00,11191.97,58629
2020-08-04 21:00:00,11191.99,11780.93,11093.00,11744.91,74970
2020-08-05 21:00:00,11744.91,11900.00,11562.50,11762.46,63529
2020-08-06 21:00:00,11762.47,11909.94,11322.00,11594.23,65756
2020-08-07 21:00:00,11594.36,11808.27,11512.00,11761.41,41858
2020-08-08 21:00:00,11761.02,11797.11,11521.97,11681.68,41493
2020-08-09 21:00:00,11681.69,12067.35,11450.00,11892.92,84952
2020-08-10 21:00:00,11892.90,11935.00,11125.00,11392.08,90748
2020-08-11 21:00:00,11392.09,11617.52,11150.00,11564.33,64910
2020-08-12 21:00:00,11564.34,11792.96,11270.36,11780.00,70132
2020-08-13 21:00:00,11779.77,11850.00,11634.03,11760.54,59819
2020-08-14 21:00:00,11760.55,11980.00,11680.00,11852.40,56238
2020-08-15 21:00:00,11852.40,11931.72,11686.00,11911.00,41368
2020-08-16 21:00:00,11910.99,12468.00,11769.78,12281.13,84734
2020-08-17 21:00:00,12281.15,12387.77,11817.93,11945.01,75924
2020-08-18 21:00:00,11945.10,12020.08,11561.00,11754.59,73940
2020-08-19 21:00:00,11754.38,11888.00,11668.00,11853.55,46085
2020-08-20 21:00:00,11853.54,11878.00,11485.81,11531.34,64448
2020-08-21 21:00:00,11531.23,11686.00,11376.81,11662.96,43679
2020-08-22 21:00:00,11663.51,11718.07,11514.13,11648.13,37900
2020-08-23 21:00:00,11648.12,11824.90,11585.09,11748.20,46212
2020-08-24 21:00:00,11748.19,11767.85,11117.64,11318.42,69591
2020-08-25 21:00:00,11318.42,11539.32,11244.00,11461.43,53998
2020-08-26 21:00:00,11461.42,11592.20,11125.00,11330.38,63246
2020-08-27 21:00:00,11330.38,11542.65,11276.89,11526.91,45954
2020-08-28 21:00:00,11526.90,11580.02,11417.04,11465.84,32974
2020-08-29 21:00:00,11465.84,11719.00,11458.00,11711.16,43178
2020-08-30 21:00:00,11711.17,11800.77,11570.00,11649.51,55354
2020-08-31 21:00:00,11649.51,12050.85,11515.00,11921.97,78148
2020-09-01 21:00:00,11921.97,11954.57,11160.10,11388.54,87222
