time,open,high,low,volume
2020-08-30 19:00:00,5.95870000,6.06940000,5.95020000,328456.96000000
2020-08-30 20:00:00,5.95730000,6.05530000,5.84280000,417224.90000000
2020-08-30 21:00:00,5.88750000,5.98000000,5.86490000,255333.30000000
2020-08-30 22:00:00,5.87300000,5.96300000,5.81680000,453815.47000000
2020-08-30 23:00:00,5.91570000,6.03840000,5.90940000,308521.22000000
2020-08-31 00:00:00,5.99990000,6.00000000,5.89000000,248388.38000000
2020-08-31 01:00:00,5.90390000,6.03330000,5.89870000,368071.90000000
2020-08-31 02:00:00,5.96000000,6.01950000,5.91360000,261423.15000000
2020-08-31 03:00:00,5.94530000,5.97310000,5.90100000,230041.38000000
2020-08-31 04:00:00,5.93310000,5.93340000,5.81890000,376163.67000000
2020-08-31 05:00:00,5.86670000,5.91500000,5.75410000,594225.91000000
2020-08-31 06:00:00,5.75880000,5.88010000,5.75550000,520441.04000000
2020-08-31 07:00:00,5.83360000,5.95750000,5.83060000,333171.35000000
2020-08-31 08:00:00,5.89900000,5.95990000,5.86370000,400876.59000000
2020-08-31 09:00:00,5.93380000,5.94110000,5.85500000,365931.38000000
2020-08-31 10:00:00,5.86120000,6.33670000,5.82550000,1676942.65000000
2020-08-31 11:00:00,6.27380000,6.29730000,6.14870000,1256133.27000000
2020-08-31 12:00:00,6.24090000,6.46620000,6.20000000,1725008.86000000
2020-08-31 13:00:00,6.34480000,6.45400000,6.28720000,1119402.29000000
2020-08-31 14:00:00,6.38570000,6.39220000,6.21500000,903248.27000000
2020-08-31 15:00:00,6.35130000,6.36100000,6.23490000,314396.86000000
2020-08-31 16:00:00,6.28280000,6.34510000,6.18200000,305782.21000000
2020-08-31 17:00:00,6.19830000,6.20510000,6.09730000,448910.52000000
2020-08-31 18:00:00,6.13790000,6.19590000,6.09990000,333962.92000000
2020-08-31 19:00:00,6.16720000,6.28910000,6.12010000,417617.05000000
2020-08-31 20:00:00,6.23520000,6.34900000,6.23410000,346238.07000000
2020-08-31 21:00:00,6.27120000,6.28000000,6.12000000,423027.25000000
2020-08-31 22:00:00,6.20000000,6.29140000,6.19460000,320349.16000000
2020-08-31 23:00:00,6.20480000,6.30990000,6.17530000,272896.81000000
2020-09-01 00:00:00,6.30820000,6.67800000,6.29120000,2031393.27000000
2020-09-01 01:00:00,6.56070000,6.58960000,6.46000000,735904.22000000
2020-09-01 02:00:00,6.46020000,6.55380000,6.39850000,477502.70000000
2020-09-01 03:00:00,6.55190000,6.86190000,6.46830000,1598395.11000000
2020-09-01 04:00:00,6.74770000,6.84000000,6.65550000,1056866.12000000
2020-09-01 05:00:00,6.73490000,6.77000000,6.61600000,568665.88000000
2020-09-01 06:00:00,6.70020000,6.76340000,6.55000000,626778.69000000
2020-09-01 07:00:00,6.64190000,6.64190000,6.51490000,626675.62000000
2020-09-01 08:00:00,6.56790000,6.57250000,6.20000000,1179370.70000000
2020-09-01 09:00:00,6.37510000,6.48280000,6.27740000,717192.57000000
2020-09-01 10:00:00,6.37000000,6.45000000,6.31730000,528004.92000000
2020-09-01 11:00:00,6.40850000,6.62000000,6.33000000,659755.34000000
2020-09-01 12:00:00,6.56560000,6.60400000,6.28860000,1082804.64000000
2020-09-01 13:00:00,6.34040000,6.39780000,6.18220000,1103139.89000000
2020-09-01 14:00:00,6.28490000,6.41880000,6.26910000,371749.36000000
2020-09-01 15:00:00,6.41790000,6.45700000,6.33250000,337094.48000000
2020-09-01 16:00:00,6.33510000,6.38230000,6.24400000,286007.80000000
2020-09-01 17:00:00,6.28050000,6.28380000,6.20000000,357608.05000000
2020-09-01 18:00:00,6.25740000,6.36610000,6.24000000,307164.53000000
2020-09-01 19:00:00,6.36470000,6.36470000,6.22920000,331873.63000000
2020-09-01 20:00:00,6.23130000,6.32300000,6.20000000,330044.08000000
2020-09-01 21:00:00,6.24000000,6.44720000,6.22210000,563403.99000000
2020-09-01 22:00:00,6.36880000,6.37630000,6.26000000,255166.36000000
2020-09-01 23:00:00,6.29340000,6.35240000,6.27560000,247078.79000000
2020-09-02 00:00:00,6.31290000,6.37920000,6.22000000,494403.82000000
2020-09-02 01:00:00,6.23980000,6.26050000,6.11330000,697534.68000000
2020-09-02 02:00:00,6.19810000,6.29860000,6.17040000,436178.64000000
2020-09-02 03:00:00,6.27250000,6.30300000,6.17000000,454067.93000000
2020-09-02 04:00:00,6.23090000,6.23460000,6.17230000,305669.18000000
2020-09-02 05:00:00,6.17990000,6.24920000,6.05000000,928099.38000000
2020-09-02 06:00:00,6.12380000,6.19980000,6.10480000,300370.64000000
2020-09-02 07:00:00,6.17550000,6.17830000,5.82170000,1306637.00000000
2020-09-02 08:00:00,5.88080000,5.98000000,5.58000000,2261338.10000000
2020-09-02 09:00:00,5.93680000,6.10900000,5.90000000,1267668.52000000
2020-09-02 10:00:00,5.99360000,6.07990000,5.88000000,737120.20000000
